appears_in_primary_top10,base_asset,exclusion_reason,pair
False,1INCH,NONE,1INCH-USDT
False,AAVE,NONE,AAVE-USDT
False,ACH,NONE,ACH-USDT
False,ACS,NONE,ACS-USDT
True,ADA,NONE,ADA-USDT
False,ADX,NONE,ADX-USDT
False,AGI,NONE,AGI-USDT
False,AGIX2L,NONE,AGIX2L-USDT
False,AGIX2S,NONE,AGIX2S-USDT
False,AGLD,NONE,AGLD-USDT
False,AIOZ,NONE,AIOZ-USDT
False,AKT,NONE,AKT-USDT
False,ALEPH,NONE,ALEPH-USDT
False,ALEX,NONE,ALEX-USDT
True,ALGO,NONE,ALGO-USDT
False,ALICE,NONE,ALICE-USDT
False,ALPINE,NONE,ALPINE-USDT
False,AMP,NONE,AMP-USDT
False,ANKR,NONE,ANKR-USDT
True,APE,NONE,APE-USDT
False,API3,NONE,API3-USDT
True,APT,NONE,APT-USDT
False,APT2L,NONE,APT2L-USDT
False,APT2S,NONE,APT2S-USDT
False,AR,NONE,AR-USDT
True,ARB,NONE,ARB-USDT
False,ARKM,NONE,ARKM-USDT
False,ARPA,NONE,ARPA-USDT
False,ARTFI,NONE,ARTFI-USDT
False,ARTY,NONE,ARTY-USDT
False,ASTR,NONE,ASTR-USDT
False,ATA,NONE,ATA-USDT
True,ATOM,NONE,ATOM-USDT
False,AUCTION,NONE,AUCTION-USDT
False,AUDIO,NONE,AUDIO-USDT
False,AURORA,NONE,AURORA-USDT
False,AVA,NONE,AVA-USDT
True,AVAX,NONE,AVAX-USDT
False,AXS,NONE,AXS-USDT
False,AZERO,NONE,AZERO-USDT
False,BABYDOGE,NONE,BABYDOGE-USDT
False,BAL,NONE,BAL-USDT
False,BAND,NONE,BAND-USDT
False,BAT,NONE,BAT-USDT
False,BAX,NONE,BAX-USDT
True,BCH,NONE,BCH-USDT
True,BCHSV,NONE,BCHSV-USDT
False,BDX,NONE,BDX-USDT
False,BFC,NONE,BFC-USDT
False,BICO,NONE,BICO-USDT
False,BIGTIME,NONE,BIGTIME-USDT
False,BLUR,NONE,BLUR-USDT
False,BLUR2L,NONE,BLUR2L-USDT
False,BLUR2S,NONE,BLUR2S-USDT
False,BLZ,NONE,BLZ-USDT
True,BNB,NONE,BNB-USDT
False,BNC,NONE,BNC-USDT
False,BOBA,NONE,BOBA-USDT
False,BONK,NONE,BONK-USDT
False,BOSON,NONE,BOSON-USDT
False,BRISE,NONE,BRISE-USDT
True,BTC,NONE,BTC-USDT
True,BTT,NONE,BTT-USDT
False,C98,NONE,C98-USDT
False,CAKE,NONE,CAKE-USDT
False,CCD,NONE,CCD-USDT
False,CELO,NONE,CELO-USDT
False,CELR,NONE,CELR-USDT
False,CERE,NONE,CERE-USDT
False,CETUS,NONE,CETUS-USDT
False,CFG,NONE,CFG-USDT
True,CFX,NONE,CFX-USDT
False,CFX2L,NONE,CFX2L-USDT
False,CFX2S,NONE,CFX2S-USDT
False,CGPT,NONE,CGPT-USDT
True,CHR,NONE,CHR-USDT
True,CHZ,NONE,CHZ-USDT
False,CKB,NONE,CKB-USDT
True,COMP,NONE,COMP-USDT
False,COQ,NONE,COQ-USDT
True,COTI,NONE,COTI-USDT
False,CPOOL,NONE,CPOOL-USDT
False,CREDI,NONE,CREDI-USDT
True,CRO,NONE,CRO-USDT
False,CRV,NONE,CRV-USDT
False,CSPR,NONE,CSPR-USDT
False,CTC,NONE,CTC-USDT
False,CTSI,NONE,CTSI-USDT
False,CVX,NONE,CVX-USDT
False,CWEB,NONE,CWEB-USDT
False,CYBER,NONE,CYBER-USDT
False,DAG,NONE,DAG-USDT
False,DAO,NONE,DAO-USDT
