pair,canonical_asset_id,exclusion_reason,identity_confidence,stablecoin_flag,wrapped_asset_flag,duplicate_network_representation_flag,mapping_provenance
ACS-USDT,ACS,,HIGH,False,False,False,rd18_p0_candidate_union
ADA-USDT,ADA,,HIGH,False,False,False,rd18_p0_candidate_union
AKRO-USDT,AKRO,,HIGH,False,False,False,rd18_p0_candidate_union
ALGO-USDT,ALGO,,HIGH,False,False,False,rd18_p0_candidate_union
AMB-USDT,AMB,,HIGH,False,False,False,rd18_p0_candidate_union
AMIO-USDT,AMIO,,HIGH,False,False,False,rd18_p0_candidate_union
ARPA-USDT,ARPA,,HIGH,False,False,False,rd18_p0_candidate_union
ATOM-USDT,ATOM,,HIGH,False,False,False,rd18_p0_candidate_union
AVAX-USDT,AVAX,,HIGH,False,False,False,rd18_p0_candidate_union
BCH-USDT,BCH,,HIGH,False,False,False,rd18_p0_candidate_union
BLOC-USDT,BLOC,,HIGH,False,False,False,rd18_p0_candidate_union
BOLT-USDT,BOLT,,HIGH,False,False,False,rd18_p0_candidate_union
BOND-USDT,BOND,,HIGH,False,False,False,rd18_p0_candidate_union
BTC-USDT,BTC,,HIGH,False,False,False,rd18_p0_candidate_union
CELR-USDT,CELR,,HIGH,False,False,False,rd18_p0_candidate_union
CIX100-USDT,CIX100,,HIGH,False,False,False,rd18_p0_candidate_union
CRO-USDT,CRO,,HIGH,False,False,False,rd18_p0_candidate_union
DAPPT-USDT,DAPPT,,HIGH,False,False,False,rd18_p0_candidate_union
DAR-USDT,DAR,,HIGH,False,False,False,rd18_p0_candidate_union
DC-USDT,DC,,HIGH,False,False,False,rd18_p0_candidate_union
DERO-USDT,DERO,,HIGH,False,False,False,rd18_p0_candidate_union
DOGS-USDT,DOGS,,HIGH,False,False,False,rd18_p0_candidate_union
DOT-USDT,DOT,,HIGH,False,False,False,rd18_p0_candidate_union
ENQ-USDT,ENQ,,HIGH,False,False,False,rd18_p0_candidate_union
EOSC-USDT,EOSC,,HIGH,False,False,False,rd18_p0_candidate_union
ETH-USDT,ETH,,HIGH,False,False,False,rd18_p0_candidate_union
FORESTPLUS-USDT,FORESTPLUS,,HIGH,False,False,False,rd18_p0_candidate_union
FTT-USDT,FTT,,HIGH,False,False,False,rd18_p0_candidate_union
INVALID-RD18-USDT,,UNMAPPED_OR_INVALID_ASSET,LOW,False,False,False,rd18_p0_candidate_union
KCS-USDT,KCS,,HIGH,False,False,False,rd18_p0_candidate_union
KLAY-USDT,KLAY,,HIGH,False,False,False,rd18_p0_candidate_union
LIT-USDT,LIT,,HIGH,False,False,False,rd18_p0_candidate_union
LUNA-USDT,LUNA,,HIGH,False,False,False,rd18_p0_candidate_union
MAP-USDT,MAP,,HIGH,False,False,False,rd18_p0_candidate_union
MKR-USDT,MKR,,HIGH,False,False,False,rd18_p0_candidate_union
MSN-USDT,MSN,,HIGH,False,False,False,rd18_p0_candidate_union
MXW-USDT,MXW,,HIGH,False,False,False,rd18_p0_candidate_union
NANO-USDT,NANO,,HIGH,False,False,False,rd18_p0_candidate_union
NOIA-USDT,NOIA,,HIGH,False,False,False,rd18_p0_candidate_union
ODE-USDT,ODE,,HIGH,False,False,False,rd18_p0_candidate_union
OGO-USDT,OGO,,HIGH,False,False,False,rd18_p0_candidate_union
ONE-USDT,ONE,,HIGH,False,False,False,rd18_p0_candidate_union
ORN-USDT,ORN,,HIGH,False,False,False,rd18_p0_candidate_union
PERP-USDT,PERP,,HIGH,False,False,False,rd18_p0_candidate_union
POLS-USDT,POLS,,HIGH,False,False,False,rd18_p0_candidate_union
PRE-USDT,PRE,,HIGH,False,False,False,rd18_p0_candidate_union
QI-USDT,QI,,HIGH,False,False,False,rd18_p0_candidate_union
RNDR-USDT,RNDR,,HIGH,False,False,False,rd18_p0_candidate_union
RPL-USDT,RPL,,HIGH,False,False,False,rd18_p0_candidate_union
SDT-USDT,SDT,,HIGH,False,False,False,rd18_p0_candidate_union
SERO-USDT,SERO,,HIGH,False,False,False,rd18_p0_candidate_union
SKY-USDT,SKY,,HIGH,False,False,False,rd18_p0_candidate_union
SOL-USDT,SOL,,HIGH,False,False,False,rd18_p0_candidate_union
SUKU-USDT,SUKU,,HIGH,False,False,False,rd18_p0_candidate_union
SXP-USDT,SXP,,HIGH,False,False,False,rd18_p0_candidate_union
USDC-USDT,,STABLECOIN_OR_CASH,LOW,True,False,False,rd18_p0_candidate_union
VI-USDT,VI,,HIGH,False,False,False,rd18_p0_candidate_union
VID-USDT,VID,,HIGH,False,False,False,rd18_p0_candidate_union
VIDT-USDT,VIDT,,HIGH,False,False,False,rd18_p0_candidate_union
VOL-USDT,VOL,,HIGH,False,False,False,rd18_p0_candidate_union
WGP-USDT,WGP,,HIGH,False,False,False,rd18_p0_candidate_union
WIN-USDT,WIN,,HIGH,False,False,False,rd18_p0_candidate_union
WOM-USDT,WOM,,HIGH,False,False,False,rd18_p0_candidate_union
WXT-USDT,WXT,,HIGH,False,False,False,rd18_p0_candidate_union
XEM-USDT,XEM,,HIGH,False,False,False,rd18_p0_candidate_union
XTZ-USDT,XTZ,,HIGH,False,False,False,rd18_p0_candidate_union
ZEC-USDT,ZEC,,HIGH,False,False,False,rd18_p0_candidate_union
ZKX-USDT,ZKX,,HIGH,False,False,False,rd18_p0_candidate_union
